Date,^DJI,TSLA,AAPL,MSFT,GOOG,AMZN
2019-08-02,26409.6201171875,15.516666412353516,51.00749969482422,136.79000091552734,59.895999908447266,91.35950088500977
2019-08-01,26862.150390625,15.875999927520752,53.09625053405762,138.93499755859375,60.995750427246094,93.54825210571289
2019-07-31,27000.625,16.111000061035156,54.083749771118164,137.78500366210938,61.04409980773926,93.72475051879883
2019-07-30,27147.109375,15.85133409500122,52.18375015258789,140.51000213623047,61.45425033569336,94.8342514038086
2019-07-29,27226.955078125,15.39900016784668,52.385000228881836,140.43999481201172,61.88999938964844,95.56925201416016
2019-07-26,27168.474609375,15.083666801452637,52.10874938964844,140.98999786376953,62.23875045776367,96.88525009155273
2019-07-25,27180.455078125,15.335000038146973,51.99625015258789,139.96500396728516,56.565500259399414,99.3479995727539
2019-07-24,27241.0791015625,17.47433376312256,52.03999900817871,139.79500579833984,56.774749755859375,99.17925262451172
2019-07-23,27286.6953125,17.166000366210938,52.02499961853027,139.01000213623047,56.96750068664551,99.27300262451172
2019-07-22,27158.3349609375,17.21133327484131,51.35499954223633,138.26000213623047,56.58725166320801,98.68149948120117
2019-07-19,27244.3701171875,17.15266704559326,51.107500076293945,138.55999755859375,57.018999099731445,98.95575332641602
2019-07-18,27167.7998046875,16.92133331298828,51.197500228881836,135.6449966430664,57.00837516784668,98.47624969482422
2019-07-17,27280.720703125,17.055333137512207,51.045000076293945,137.0749969482422,57.60325050354004,100.10074996948242
2019-07-16,27344.4599609375,16.715333938598633,51.201250076293945,137.78500366210938,57.589500427246094,100.6884994506836
2019-07-15,27329.4296875,16.64266586303711,51.23374938964844,139.0,57.25550079345703,100.61124801635742
2019-07-12,27234.619140625,16.16966724395752,50.77499961853027,138.56999969482422,57.15299987792969,100.52174758911133
2019-07-11,27002.384765625,15.910000324249268,50.76250076293945,138.5449981689453,57.31624984741211,100.77750015258789
2019-07-10,26898.279296875,15.736000061035156,50.6612491607666,137.8000030517578,56.82550048828125,100.50849914550781
2019-07-09,26736.634765625,15.276000022888184,50.03999900817871,136.38500213623047,55.87987518310547,98.33725357055664
2019-07-08,26792.0048828125,15.363666534423828,49.97624969482422,136.23500061035156,55.92975044250488,97.10625076293945
2019-07-05,26842.0703125,15.541666984558105,50.99749946594238,136.5250015258789,56.22550010681152,96.77999877929688
2019-07-03,26898.7197265625,15.869333744049072,50.89125061035156,137.01499938964844,56.01550102233887,96.80224990844727
2019-07-02,26710.10546875,15.045666694641113,50.56125068664551,135.96499633789062,55.24850082397461,96.0354995727539
2019-07-01,26753.42578125,15.312666416168213,50.642499923706055,135.83499908447266,55.03207588195801,96.11199951171875
2019-06-28,26580.3095703125,14.86566686630249,49.56875038146973,133.8800048828125,53.859249114990234,94.92350006103516
2019-06-27,26536.2802734375,14.674999713897705,50.14250183105469,134.11000061035156,54.059749603271484,95.23199844360352
2019-06-26,26598.1845703125,14.84433364868164,49.79250144958496,134.67000579833984,54.1302490234375,94.77799987792969
2019-06-25,26639.9853515625,14.827666759490967,49.318748474121094,135.15999603271484,54.95374870300293,94.72025299072266
2019-06-24,26764.9443359375,14.895999908447266,49.791250228881836,137.6999969482422,55.82524871826172,95.4540023803711
2019-06-21,26806.619140625,14.589333534240723,49.875,137.09500122070312,55.80475044250488,95.83824920654297
2019-06-20,26669.16015625,14.775000095367432,49.829999923706055,136.69000244140625,55.62150001525879,96.0250015258789
2019-06-19,26492.400390625,14.960999965667725,49.64875030517578,134.8699951171875,55.01199913024902,95.3012466430664
2019-06-18,26377.4951171875,15.243332862854004,49.4375,134.4050064086914,55.38450050354004,95.53650283813477
2019-06-17,26107.7900390625,14.70900011062622,48.39125061035156,133.12999725341797,54.63649940490723,94.27849960327148
2019-06-14,26075.1845703125,14.234999656677246,47.986249923706055,132.71499633789062,54.32154846191406,93.375
2019-06-13,26071.310546875,14.080333232879639,48.798749923706055,132.27999877929688,54.35799980163574,93.63275146484375
2019-06-12,26020.3798828125,14.41266679763794,48.670000076293945,131.34000396728516,53.71175003051758,92.73450088500977
2019-06-11,26123.76953125,14.480000019073486,48.70000076293945,132.76000213623047,54.489824295043945,93.79249954223633
2019-06-10,26132.4599609375,14.198333740234375,48.373748779296875,133.04000091552734,54.124549865722656,92.57175064086914
2019-06-07,25920.7353515625,13.811333179473877,47.21125030517578,130.25499725341797,52.98299980163574,89.14350128173828
2019-06-06,25659.17578125,13.759999752044678,45.95249938964844,126.78499984741211,52.02975082397461,87.15325164794922
2019-06-05,25459.1201171875,13.104333400726318,45.76625061035156,125.04000091552734,52.10100173950195,86.68124771118164
2019-06-04,25153.294921875,12.45300006866455,44.29375076293945,121.96500015258789,52.24350166320801,85.29275131225586
2019-06-03,24807.890625,12.122332572937012,43.52375030517578,121.69000244140625,52.26250076293945,85.95724868774414
2019-05-31,24927.91015625,12.46733283996582,44.122501373291016,123.97000122070312,55.24449920654297,89.2072525024414
2019-05-30,25142.64453125,12.642666816711426,44.48749923706055,125.27000045776367,55.88125038146973,90.93250274658203
2019-05-29,25084.8505859375,12.581000328063965,44.41875076293945,124.71500015258789,55.933000564575195,90.93825149536133
2019-05-28,25529.955078125,12.761666297912598,44.8125,127.0250015258789,57.11767387390137,91.91550064086914
2019-05-24,25583.5048828125,12.957666397094727,45.09499931335449,126.69499969482422,57.03562545776367,91.49024963378906
2019-05-23,25493.0400390625,12.85633373260498,44.79374885559082,125.51499938964844,56.87992477416992,91.20499801635742
2019-05-22,25816.66015625,13.190666198730469,46.032501220703125,127.38000106811523,57.61024856567383,93.06225204467773
